id;name;actions_combination;nb_actions;total_investment;total_profit
1;combinaison_1;[['Action-1', '20.0', '1.0']];1;20.0;1.0
2;combinaison_2;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0']];2;50.0;4.0
3;combinaison_3;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5']];3;100.0;11.5
4;combinaison_4;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0']];4;170.0;25.5
5;combinaison_5;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2']];5;230.0;35.7
6;combinaison_6;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0']];6;310.0;55.7
7;combinaison_7;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54']];7;332.0;57.24
8;combinaison_8;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86']];8;358.0;60.1
9;combinaison_9;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24']];9;406.0;66.34
10;combinaison_10;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18']];10;440.0;75.52000000000001
11;combinaison_11;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14']];11;482.0;82.66000000000001
12;combinaison_12;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9']];12;592.0;92.56000000000002
13;combinaison_13;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74']];13;630.0;101.30000000000001
14;combinaison_14;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14']];14;644.0;101.44000000000001
15;combinaison_15;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54']];15;662.0;101.98000000000002
16;combinaison_16;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64']];16;670.0;102.62000000000002
17;combinaison_17;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48']];17;674.0;103.10000000000002
18;combinaison_18;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4']];18;684.0;104.50000000000003
19;combinaison_19;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4'], ['Action-19', '24.0', '5.04']];19;708.0;109.54000000000003
20;combinaison_20;[['Action-1', '20.0', '1.0'], ['Action-2', '30.0', '3.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4'], ['Action-19', '24.0', '5.04'], ['Action-20', '114.0', '20.52']];20;822.0;130.06000000000003
21;combinaison_21;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5']];2;70.0;8.5
22;combinaison_22;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0']];3;140.0;22.5
23;combinaison_23;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2']];4;200.0;32.7
24;combinaison_24;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0']];5;280.0;52.7
25;combinaison_25;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54']];6;302.0;54.24
26;combinaison_26;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86']];7;328.0;57.1
27;combinaison_27;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24']];8;376.0;63.34
28;combinaison_28;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18']];9;410.0;72.52000000000001
29;combinaison_29;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14']];10;452.0;79.66000000000001
30;combinaison_30;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9']];11;562.0;89.56000000000002
31;combinaison_31;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74']];12;600.0;98.30000000000001
